time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),rain (inch),snowfall (inch),wind_speed_10m (mp/h),wind_gusts_10m (mp/h)
2020-01-01T00:00,24.1,56,10.8,0,0,7.3,15
2020-01-01T01:00,24,58,11.3,0,0,6,12.5
2020-01-01T02:00,26.7,57,13.5,0,0,7.7,14.1
2020-01-01T03:00,27.1,57,13.7,0,0,6.5,13.2
2020-01-01T04:00,24.9,61,13.3,0,0,5.6,11.2
2020-01-01T05:00,30.8,57,17.3,0,0,8.9,8.9
2020-01-01T06:00,28.7,61,16.9,0,0,10.6,17.7
2020-01-01T07:00,27.1,68,18,0,0,5.5,17.4
2020-01-01T08:00,30.7,67,21.1,0,0,5.6,9.8
2020-01-01T09:00,33.6,65,23.3,0,0,5.1,9.2
2020-01-01T10:00,38.3,59,25.3,0,0,8.1,13.2
2020-01-01T11:00,42,54,26.7,0,0,9.5,16.8
2020-01-01T12:00,39.5,67,29.3,0,0,5.1,16.8
2020-01-01T13:00,38.3,72,30,0.008,0,6,42.1
2020-01-01T14:00,39,75,31.6,0,0,5.8,10.1
2020-01-01T15:00,42.8,59,29.7,0,0,3.2,9.4
2020-01-01T16:00,38.1,65,27.5,0,0,7,8.5
2020-01-01T17:00,31.2,67,21.5,0,0,7.4,11.2
2020-01-01T18:00,30,70,21.6,0,0,6.3,10.5
2020-01-01T19:00,29.3,73,21.6,0,0,8.2,13.9
2020-01-01T20:00,26.9,71,18.9,0,0,6.7,13.6
2020-01-01T21:00,23.7,65,13.7,0,0,10.4,13.2
2020-01-01T22:00,24.5,58,11.9,0,0,10.1,13.2
2020-01-01T23:00,34.7,43,14.4,0,0,6.5,12.8
2020-01-02T00:00,32.2,47,14.4,0,0,3.6,8.5
2020-01-02T01:00,28.3,52,13.1,0,0,6.9,8.5
2020-01-02T02:00,26.1,51,10.6,0,0,8.9,11.2
2020-01-02T03:00,18.3,57,5.6,0,0,12.2,14.8
2020-01-02T04:00,32.3,36,8.1,0,0,4.3,16.1
2020-01-02T05:00,24.9,69,16.1,0,0,6,10.5
2020-01-02T06:00,24.9,63,14.1,0,0,7.5,11.2
2020-01-02T07:00,22.2,72,14.5,0,0,8.4,12.1
2020-01-02T08:00,20.1,73,12.9,0,0,7.9,11
2020-01-02T09:00,30.7,62,19.3,0,0,5.3,11
2020-01-02T10:00,36.2,53,20.9,0,0,6.5,12.1
2020-01-02T11:00,37.7,50,20.8,0,0,5.7,12.5
2020-01-02T12:00,38.6,51,22.1,0,0,3.4,11.2
2020-01-02T13:00,42.6,30,13.2,0,0,4.8,11.6
2020-01-02T14:00,42.4,30,13.4,0,0,8.9,15.7
2020-01-02T15:00,39.8,35,14.5,0,0,11.6,19.7
2020-01-02T16:00,36.4,39,13.8,0,0,10.7,19.9
2020-01-02T17:00,33.9,52,18.3,0,0,4.8,17
2020-01-02T18:00,29.7,62,18.1,0,0,3.8,5.6
2020-01-02T19:00,30.1,53,15.2,0,0,1.8,6.3
2020-01-02T20:00,26.3,61,14.6,0,0,4.6,5.4
2020-01-02T21:00,29.2,46,10.9,0,0,9.6,13.2
2020-01-02T22:00,28.2,48,11.2,0,0,6,17.4
2020-01-02T23:00,24.3,57,11.3,0,0,4.7,9.4
2020-01-03T00:00,22.6,58,10,0,0,4.1,6.7
2020-01-03T01:00,22.6,53,8.2,0,0,4.3,6.9
2020-01-03T02:00,22.8,51,7.3,0,0,3.6,6.9
2020-01-03T03:00,22.3,51,6.9,0,0,4.3,6.3
2020-01-03T04:00,22.6,49,6.4,0,0,3.3,6.5
2020-01-03T05:00,24.9,49,8.5,0,0,6.4,5.6
2020-01-03T06:00,25.3,50,9.1,0,0,5.3,8.3
2020-01-03T07:00,23,55,9.2,0,0,9.8,14.3
2020-01-03T08:00,23,53,8.3,0,0,9.6,14.8
2020-01-03T09:00,28.8,44,9.7,0,0,9.4,16.3
2020-01-03T10:00,34.2,38,10.9,0,0,8.4,16.1
2020-01-03T11:00,40.2,29,10.6,0,0,7.1,15.7
2020-01-03T12:00,42.5,27,11,0,0,0.9,14.1
2020-01-03T13:00,43.3,31,14.7,0,0,2.7,8.5
2020-01-03T14:00,43.3,33,16.3,0,0,5.8,10.3
2020-01-03T15:00,41,42,19.9,0,0,9.1,16.6
2020-01-03T16:00,37,49,19.7,0,0,5.9,14.3
2020-01-03T17:00,42.6,34,16.4,0,0,4.8,8.7
2020-01-03T18:00,36.5,46,17.9,0,0,3.2,6.5
2020-01-03T19:00,32,60,19.6,0,0,4.1,5.6
2020-01-03T20:00,32.1,60,19.7,0,0,3.6,6
2020-01-03T21:00,31.2,63,20.1,0,0,4.5,9.4
2020-01-03T22:00,30.7,64,19.9,0,0,1.6,7.6
2020-01-03T23:00,30.3,66,20.2,0,0,2.7,4.5
